Transaction ID,User Name,Gender,Card Number,Bank Name,ATM Location,Transaction Type,Transaction Amount,Transaction Date,Transaction Time,Account Balance After Transaction,Status
TXN1056,Briana Fuller,Female,7393787701589234,State Bank of India,Thane,Cash Deposit,7611,2025-04-20,22:41:54,28898,Failed
TXN1057,Michele Fowler,Female,2190816907086289,ICICI Bank,Nashik,Balance Enquiry,0,2025-04-19,23:27:48,17903,Success
TXN1058,Gary Robinson,Male,3044624523909260,Axis Bank,Mumbai,Cash Deposit,5075,2025-04-05,22:15:02,78690,Failed
TXN1059,Todd George,Male,6869144059684965,ICICI Bank,Pune,Fund Transfer,7100,2025-04-05,22:55:33,21305,Failed
TXN1060,Bethany Johnson,Female,9271706753911504,Kotak Bank,Pune,Cash Withdrawal,2522,2025-04-04,20:34:09,25051,Failed
TXN1061,Lee King,Male,9820689983974304,Axis Bank,Thane,Mini Statement,0,2025-04-14,01:05:56,10877,Failed
TXN1062,Kevin Moore,Male,0244596877723004,Axis Bank,Nagpur,Cash Deposit,1240,2025-04-19,23:22:38,13686,Failed
TXN1063,Barbara Allen,Female,0900401291840843,Kotak Bank,Mumbai,Balance Enquiry,0,2025-04-14,02:51:31,21572,Failed
TXN1064,Vernon Jackson,Male,9627138623833107,HDFC Bank,Mumbai,Cash Withdrawal,3910,2025-04-13,04:14:31,15602,Success
TXN1065,James Hoover,Male,9620385023437233,State Bank of India,Nashik,Mini Statement,0,2025-04-16,09:23:00,19520,Success
TXN1066,Susan Wall,Female,2129936789255051,ICICI Bank,Nagpur,Cash Deposit,7975,2025-04-13,04:24:05,58976,Success
TXN1067,Adam Carr,Male,0680483586036571,HDFC Bank,Nashik,Fund Transfer,862,2025-04-13,14:21:29,5066,Success
TXN1068,Jessica Garcia,Female,4538786697615684,HDFC Bank,Mumbai,Cash Deposit,5418,2025-04-01,01:38:52,41609,Success
TXN1069,Rebecca Fisher,Female,8679135782217750,Kotak Bank,Pune,Fund Transfer,4017,2025-04-18,15:32:25,36971,Success
TXN1070,Victor Wilcox,Male,9285954106526731,ICICI Bank,Thane,Balance Enquiry,0,2025-04-07,13:24:08,34061,Failed
TXN1071,William Woods,Male,2301101440582540,Kotak Bank,Nashik,Mini Statement,0,2025-04-01,23:35:31,2719,Success
TXN1072,Kevin Greer,Male,8905571223773219,Kotak Bank,Thane,Fund Transfer,2384,2025-04-10,00:04:43,26889,Failed
TXN1073,Willie Hoffman,Male,4988435331045727,Kotak Bank,Nagpur,Cash Withdrawal,9446,2025-04-06,05:05:24,35603,Failed
TXN1074,Heather Newman,Female,0604991570143294,ICICI Bank,Nashik,Mini Statement,0,2025-04-19,10:32:52,25157,Failed
TXN1075,Michelle Jones,Female,9779677813224098,Kotak Bank,Pune,Fund Transfer,5137,2025-04-05,14:26:43,12060,Success
TXN1076,Traci Johnson,Female,0980198885157331,ICICI Bank,Mumbai,Cash Deposit,8953,2025-04-10,01:32:11,54966,Success
TXN1077,Karen Rich,Female,3388809777190234,State Bank of India,Mumbai,Fund Transfer,1577,2025-04-20,12:08:59,26382,Failed
TXN1078,Nichole Kerr,Female,0559999134726999,Kotak Bank,Nashik,Balance Enquiry,0,2025-04-12,19:11:24,1011,Failed
TXN1079,Mary Cooper,Female,8445358287794374,HDFC Bank,Nashik,Cash Deposit,7028,2025-04-19,14:47:35,52591,Success
TXN1080,Zachary Cunningham DVM,Male,2108442773641576,State Bank of India,Nagpur,Mini Statement,0,2025-04-02,22:20:18,37883,Success
TXN1081,Linda Yates,Female,0843895993289303,HDFC Bank,Pune,Cash Deposit,7164,2025-04-03,20:00:01,78441,Failed
TXN1082,Jose Pittman,Male,3199479133884800,Kotak Bank,Mumbai,Fund Transfer,7775,2025-04-21,03:43:23,32936,Success
TXN1083,Tracy Howard,Female,3658930513225628,HDFC Bank,Mumbai,Fund Transfer,6889,2025-04-20,12:01:56,6631,Success
TXN1084,Kayla Bradshaw,Female,6217360907001837,Kotak Bank,Pune,Balance Enquiry,0,2025-04-15,20:46:58,47892,Success
TXN1085,Mary Sanchez,Female,5710896894606749,HDFC Bank,Pune,Fund Transfer,9225,2025-04-18,10:16:24,24692,Success
TXN1086,Anthony Williams,Male,5749320977678020,ICICI Bank,Nagpur,Balance Enquiry,0,2025-04-15,17:46:45,30510,Success
TXN1087,Jeffrey Taylor,Male,8419440589672179,ICICI Bank,Pune,Fund Transfer,6484,2025-04-20,13:26:45,22307,Failed
TXN1088,Christopher Coleman,Male,7041082776065824,HDFC Bank,Nashik,Mini Statement,0,2025-04-06,21:18:53,4083,Failed
TXN1089,Douglas Benton,Male,5913004652056518,HDFC Bank,Mumbai,Fund Transfer,3838,2025-04-21,09:29:27,46785,Failed
TXN1090,Daniel Douglas,Male,9029935658683175,ICICI Bank,Nagpur,Cash Withdrawal,4538,2025-04-10,05:38:46,27320,Success
TXN1091,Jamie Schwartz,Female,5000769719543618,State Bank of India,Mumbai,Fund Transfer,7329,2025-04-13,04:41:25,10934,Success
TXN1092,Teresa Figueroa,Female,9364687354830544,Axis Bank,Nashik,Cash Withdrawal,2849,2025-04-09,03:31:45,15302,Failed
TXN1093,Vincent Allen,Male,6496977971692404,HDFC Bank,Nagpur,Mini Statement,0,2025-04-11,22:43:09,32119,Success
TXN1094,Christopher Martin,Male,0397711653365015,State Bank of India,Nagpur,Balance Enquiry,0,2025-04-13,22:25:17,18115,Failed
TXN1095,Pedro Cameron,Male,3093812431360608,HDFC Bank,Nashik,Cash Withdrawal,698,2025-04-02,15:16:11,13215,Failed
TXN1096,Jeffrey Campbell,Male,0963051367871696,HDFC Bank,Pune,Balance Enquiry,0,2025-04-03,16:22:12,39558,Success
TXN1097,Aaron Wood,Male,9955176030773011,Kotak Bank,Mumbai,Fund Transfer,6641,2025-04-05,20:40:30,23631,Success
TXN1098,John Lyons,Male,2465112502193654,Axis Bank,Nashik,Mini Statement,0,2025-04-09,20:18:34,24725,Failed
TXN1099,Chad Davis,Male,4719308820384505,State Bank of India,Mumbai,Fund Transfer,6853,2025-04-01,18:33:06,2450,Success
TXN1100,Brenda Simpson,Female,7478729031457949,ICICI Bank,Thane,Mini Statement,0,2025-04-01,00:58:01,27172,Failed
TXN1101,Diana Torres,Female,6803239015019649,Kotak Bank,Thane,Fund Transfer,8074,2025-04-12,23:39:56,20803,Success
TXN1102,Ashley Frederick,Female,0515558960146879,Axis Bank,Pune,Balance Enquiry,0,2025-04-05,11:53:28,31105,Success
TXN1103,Mariah Johnson,Female,1990765446213979,State Bank of India,Mumbai,Balance Enquiry,0,2025-04-02,13:56:15,48078,Success
TXN1104,Daniel Henderson,Male,2609405590003539,ICICI Bank,Pune,Cash Withdrawal,7868,2025-04-04,19:24:50,24558,Success
TXN1105,April Gates,Female,9509510295803042,ICICI Bank,Nashik,Mini Statement,0,2025-04-10,17:11:37,43969,Failed
TXN1106,Kathleen Reeves,Female,7542683563053773,ICICI Bank,Nashik,Cash Deposit,7166,2025-04-07,10:28:58,25301,Failed
TXN1107,Jason Patel,Male,2443781966961168,ICICI Bank,Pune,Cash Deposit,6955,2025-04-19,17:36:49,73011,Success
TXN1108,Katherine Johnson,Female,2101670974564444,State Bank of India,Mumbai,Balance Enquiry,0,2025-04-13,15:15:49,44086,Failed
TXN1109,Shirley Garrett,Female,2724161369269651,Kotak Bank,Thane,Mini Statement,0,2025-04-07,08:45:34,7048,Failed
TXN1110,Mary Smith,Female,8112341517148780,Axis Bank,Mumbai,Cash Deposit,5532,2025-04-06,00:08:51,64625,Success
TXN1111,Kylie Duran,Female,1234693359607855,Kotak Bank,Thane,Fund Transfer,2079,2025-04-20,17:17:05,39333,Failed
TXN1112,Jeffrey Boone,Male,0499580084947837,Kotak Bank,Thane,Cash Deposit,3463,2025-04-19,21:31:20,77350,Success
TXN1113,Christina Russell,Female,2842310378709762,HDFC Bank,Nagpur,Fund Transfer,903,2025-04-17,20:47:04,11172,Failed
TXN1114,Connor Hill,Male,3772410121043935,Kotak Bank,Mumbai,Cash Deposit,9480,2025-04-05,13:03:21,60812,Success
TXN1115,Gary Hansen,Male,7232945934593649,ICICI Bank,Thane,Cash Deposit,3118,2025-04-07,08:52:05,21874,Success
TXN1116,Lauren Snyder,Female,7927184610104990,State Bank of India,Mumbai,Cash Deposit,1918,2025-04-20,11:31:03,12460,Success
TXN1117,Robert Nicholson,Male,7936862801098756,Kotak Bank,Mumbai,Cash Deposit,4153,2025-04-06,17:17:34,91321,Failed
TXN1118,Elizabeth Tucker,Female,0840327251653016,Axis Bank,Nagpur,Balance Enquiry,0,2025-04-17,13:15:47,37316,Success
TXN1119,Richard Moore,Male,8820898435298882,State Bank of India,Mumbai,Cash Deposit,1629,2025-04-05,13:05:27,58317,Success
TXN1120,Jennifer Jordan,Female,5696146733492047,ICICI Bank,Nagpur,Cash Withdrawal,1184,2025-04-11,15:55:26,22600,Success
TXN1121,Kenneth Williams,Male,3054924457557587,HDFC Bank,Pune,Mini Statement,0,2025-04-14,17:04:13,34783,Failed
TXN1122,Chad Hancock,Male,0846124157486603,ICICI Bank,Nashik,Fund Transfer,6017,2025-04-18,02:13:41,49345,Failed
TXN1123,Jason Gonzales,Male,2595089299604370,ICICI Bank,Nagpur,Balance Enquiry,0,2025-04-06,03:02:45,7276,Failed
TXN1124,Jasmine Hudson,Female,5806587934362987,Axis Bank,Thane,Mini Statement,0,2025-04-06,04:28:48,35708,Success
TXN1125,Bianca Robertson,Female,9124177692792168,Axis Bank,Pune,Balance Enquiry,0,2025-04-16,12:17:10,3370,Failed
TXN1126,Justin Lang,Male,3735110588103700,Axis Bank,Pune,Fund Transfer,2715,2025-04-15,06:55:55,46880,Success
TXN1127,Suzanne Young,Female,2838226471808134,HDFC Bank,Nashik,Fund Transfer,9422,2025-04-19,17:02:35,18265,Success
TXN1128,Karen Pratt,Female,2980001508792160,Kotak Bank,Nashik,Fund Transfer,9109,2025-04-10,06:21:53,36677,Failed
TXN1129,Paul Taylor,Male,7254651367361577,HDFC Bank,Nashik,Cash Deposit,7797,2025-04-13,19:19:04,8240,Success
TXN1130,Rebecca Jones,Female,4572841228280323,ICICI Bank,Thane,Mini Statement,0,2025-04-11,11:48:59,20953,Success
TXN1131,Corey Rose,Male,7866783889713240,ICICI Bank,Nagpur,Balance Enquiry,0,2025-04-12,21:53:17,25253,Failed
TXN1132,John Lopez,Male,4931514310870142,Kotak Bank,Nashik,Cash Withdrawal,8819,2025-04-04,08:44:02,25742,Failed
TXN1133,Martha Mitchell,Female,3473039899364089,ICICI Bank,Nagpur,Cash Deposit,7838,2025-04-03,00:12:21,61134,Failed
TXN1134,Michelle Stevens,Female,4992887814216186,HDFC Bank,Nagpur,Cash Deposit,2828,2025-04-12,13:42:32,81634,Failed
TXN1135,Christina Ortega,Female,6652734811565359,State Bank of India,Nagpur,Cash Deposit,3360,2025-04-04,17:51:34,63610,Success
TXN1136,Allison Cox,Female,4150234822480257,HDFC Bank,Nagpur,Cash Withdrawal,7579,2025-04-18,01:44:16,33838,Success
TXN1137,Nichole Kelley,Female,4492271957435877,ICICI Bank,Mumbai,Mini Statement,0,2025-04-02,12:04:46,15959,Failed
TXN1138,Jessica Williams,Female,5731701171522697,Axis Bank,Pune,Balance Enquiry,0,2025-04-21,03:18:52,32233,Success
TXN1139,Cynthia Hunt,Female,4414452855583205,Axis Bank,Pune,Cash Deposit,1790,2025-04-02,11:47:43,69323,Success
TXN1140,Stephanie James,Female,5530449071788124,Axis Bank,Nagpur,Fund Transfer,3551,2025-04-16,21:48:55,47820,Success
TXN1141,Monique Stewart,Female,1594011697723802,ICICI Bank,Mumbai,Fund Transfer,2824,2025-04-13,18:07:21,4656,Failed
TXN1142,Elizabeth Bowman,Female,7551905289806479,State Bank of India,Nagpur,Balance Enquiry,0,2025-04-05,15:05:04,17239,Failed
TXN1143,Paul Lynch Jr.,Male,3884067880182149,Axis Bank,Mumbai,Cash Withdrawal,708,2025-04-21,14:51:53,5086,Success
TXN1144,Patricia Valdez,Female,8777978542697045,Axis Bank,Pune,Cash Deposit,2749,2025-04-15,08:36:41,37923,Success
TXN1145,Scott Johnson,Male,3723322728710443,HDFC Bank,Nagpur,Balance Enquiry,0,2025-04-13,04:36:20,31176,Success
TXN1146,Roger Smith,Male,7888723648437541,Kotak Bank,Nagpur,Fund Transfer,3602,2025-04-03,13:37:27,29733,Success
TXN1147,Kelly Young,Male,1670879217288427,Kotak Bank,Nagpur,Cash Deposit,1786,2025-04-13,19:09:45,45587,Failed
TXN1148,Justin Baker,Male,1125366923156697,ICICI Bank,Pune,Cash Withdrawal,6107,2025-04-02,09:44:58,44191,Failed
TXN1149,Paul Shelton,Male,5005848555424329,ICICI Bank,Nashik,Cash Deposit,6815,2025-04-18,21:38:18,68347,Success
TXN1150,Christopher Miranda,Male,5632631663970948,ICICI Bank,Nagpur,Balance Enquiry,0,2025-04-11,16:56:47,48998,Failed
TXN1151,Carolyn Gould,Female,5626477660318573,Kotak Bank,Mumbai,Fund Transfer,4079,2025-04-07,02:11:10,2709,Success
TXN1152,Taylor Price,Male,8733876499135616,State Bank of India,Mumbai,Balance Enquiry,0,2025-04-10,10:57:08,42692,Success
TXN1153,David Mcguire,Male,2852511799282658,State Bank of India,Pune,Fund Transfer,5001,2025-04-19,22:46:34,4505,Failed
TXN1154,Ryan Torres,Male,8438079289544668,Kotak Bank,Mumbai,Balance Enquiry,0,2025-04-13,23:55:27,12960,Success
TXN1155,Edward Wagner,Male,7282328518544352,ICICI Bank,Nagpur,Fund Transfer,2187,2025-04-21,09:54:01,29394,Failed
TXN1156,Victoria Montgomery,Female,9049282047596480,HDFC Bank,Nagpur,Balance Enquiry,0,2025-04-05,10:27:47,24002,Failed
TXN1157,Cynthia Salinas,Female,0074903500287415,State Bank of India,Thane,Fund Transfer,1460,2025-04-12,14:05:13,6586,Success
TXN1158,Robert Erickson,Male,1395405144812260,Kotak Bank,Nashik,Cash Deposit,8281,2025-04-01,00:03:51,20909,Success
TXN1159,Michele Brewer,Female,2680924173919033,HDFC Bank,Thane,Mini Statement,0,2025-04-08,15:49:30,27262,Failed
TXN1160,Jeremy Hood,Male,7111760737779410,HDFC Bank,Nagpur,Cash Deposit,6290,2025-04-15,07:04:01,60057,Success
TXN1161,Joe Carroll,Male,2043441819423049,HDFC Bank,Nagpur,Cash Withdrawal,9539,2025-04-03,03:08:07,31334,Failed
TXN1162,Melinda Dixon,Female,0949432674187510,Kotak Bank,Thane,Fund Transfer,9175,2025-04-09,10:24:22,40785,Failed
TXN1163,Kayla Schroeder,Female,9992834209762440,State Bank of India,Thane,Mini Statement,0,2025-04-14,15:00:20,22774,Success
TXN1164,Cory Smith,Male,0146469266456804,Axis Bank,Thane,Cash Deposit,9707,2025-04-01,12:00:30,16519,Failed
TXN1165,Kimberly Brown,Female,6298096444553982,HDFC Bank,Thane,Fund Transfer,6775,2025-04-07,17:09:53,36719,Failed
TXN1166,Tiffany Adams,Female,3665169501684277,State Bank of India,Nagpur,Cash Withdrawal,8042,2025-04-12,11:48:31,8574,Success
TXN1167,Todd Edwards,Male,2901150731317156,State Bank of India,Nagpur,Cash Withdrawal,3868,2025-04-14,17:44:35,2813,Failed
TXN1168,Julie Smith,Female,0805866525058779,ICICI Bank,Mumbai,Fund Transfer,7610,2025-04-17,05:02:02,26435,Failed
TXN1169,Kyle Kaiser,Male,0904022630192466,ICICI Bank,Thane,Mini Statement,0,2025-04-12,23:55:31,27603,Success
TXN1170,Amber Gordon,Female,3174888445873828,Kotak Bank,Mumbai,Fund Transfer,3827,2025-04-19,22:39:53,8430,Failed
TXN1171,Kyle Bray,Male,6603666209260302,Kotak Bank,Pune,Fund Transfer,5718,2025-04-04,03:22:45,26604,Failed
TXN1172,Katelyn Oconnor,Female,9270152431011663,State Bank of India,Thane,Balance Enquiry,0,2025-04-02,20:17:25,46242,Success
TXN1173,Anthony Riley,Male,8224036357863557,HDFC Bank,Pune,Fund Transfer,6986,2025-04-08,06:07:36,4548,Success
TXN1174,Michael Johnson,Male,2257266664734366,State Bank of India,Pune,Mini Statement,0,2025-04-08,02:19:09,40376,Failed
TXN1175,Alexa Morse,Female,2360969095511066,Axis Bank,Pune,Mini Statement,0,2025-04-05,12:23:00,18638,Failed
TXN1176,Sarah Jackson,Female,5232857216698270,Axis Bank,Mumbai,Fund Transfer,5906,2025-04-13,16:08:32,16955,Success
TXN1177,Nicholas Kelly PhD,Male,9194741728059165,HDFC Bank,Nashik,Balance Enquiry,0,2025-04-01,04:27:07,18737,Failed
TXN1178,Matthew Bowers,Male,0405814451150847,State Bank of India,Thane,Balance Enquiry,0,2025-04-09,10:11:21,31111,Success
TXN1179,Kendra Taylor,Female,8877889000915272,Axis Bank,Mumbai,Cash Withdrawal,2790,2025-04-19,22:54:35,5600,Failed
TXN1180,Angela Hill,Female,4486739566554692,Kotak Bank,Mumbai,Cash Deposit,4263,2025-04-14,03:51:39,56243,Success
TXN1181,Christine Scott,Female,8349370189777960,Axis Bank,Nagpur,Cash Withdrawal,2714,2025-04-10,04:33:04,7298,Failed
TXN1182,Justin Davis,Male,2039105957481764,State Bank of India,Mumbai,Mini Statement,0,2025-04-03,16:59:54,34369,Failed
TXN1183,Sarah Torres,Female,3142617345876288,HDFC Bank,Nagpur,Cash Withdrawal,9563,2025-04-19,08:14:38,6379,Failed
TXN1184,Kristi Durham,Female,2448690117466872,ICICI Bank,Thane,Mini Statement,0,2025-04-16,15:06:07,41854,Success
TXN1185,Caroline White,Female,0466395359033728,Axis Bank,Pune,Balance Enquiry,0,2025-04-21,18:43:13,47020,Failed
TXN1186,Jeffrey Mcmillan,Male,5547563259313104,Axis Bank,Mumbai,Cash Deposit,1786,2025-04-05,10:13:22,64896,Success
TXN1187,Melissa Harris,Female,6892307054722335,ICICI Bank,Thane,Cash Withdrawal,3314,2025-04-14,14:02:39,44218,Success
TXN1188,Larry Rivas,Male,3902255662521948,ICICI Bank,Nagpur,Cash Deposit,3292,2025-04-08,17:21:03,54958,Success
TXN1189,Lisa Levine,Female,5474002636043184,Axis Bank,Nagpur,Cash Withdrawal,7786,2025-04-13,02:11:16,15483,Failed
TXN1190,Monique Suarez,Female,2644874230818865,Kotak Bank,Nashik,Cash Deposit,6657,2025-04-03,04:05:54,38152,Success
TXN1191,Leah Fitzpatrick PhD,Female,6811486692655498,HDFC Bank,Nashik,Balance Enquiry,0,2025-04-02,06:22:16,40553,Failed
TXN1192,Rachel Burns,Female,8206220420392755,Axis Bank,Mumbai,Cash Deposit,6133,2025-04-11,18:50:56,60852,Success
TXN1193,Aaron Sampson,Male,2073026892041755,Kotak Bank,Thane,Fund Transfer,5381,2025-04-07,17:17:37,25461,Success
TXN1194,Jessica Weiss,Female,1553904124836834,Kotak Bank,Nashik,Cash Withdrawal,3832,2025-04-15,21:48:46,38686,Failed
TXN1195,Matthew Reynolds,Male,9213691576961426,HDFC Bank,Mumbai,Mini Statement,0,2025-04-17,02:02:06,47310,Failed
TXN1196,Sandra Sanchez,Female,7731054677782557,ICICI Bank,Nashik,Mini Statement,0,2025-04-15,14:59:42,38906,Failed
TXN1197,Karen Thompson,Female,5713113050845514,HDFC Bank,Nagpur,Cash Withdrawal,6224,2025-04-11,22:52:11,2563,Failed
TXN1198,Terry Gonzalez,Female,7903719528182575,ICICI Bank,Nagpur,Cash Withdrawal,5806,2025-04-19,17:48:43,47766,Failed
TXN1199,Jonathan Faulkner,Male,9377573350361089,Kotak Bank,Pune,Cash Withdrawal,4148,2025-04-19,13:58:16,24875,Success
TXN1200,Kaitlin Hull,Female,2659043483864180,State Bank of India,Thane,Cash Withdrawal,7554,2025-04-13,06:25:02,25233,Failed
TXN1201,Anthony Estrada,Male,0426732480873049,Axis Bank,Thane,Fund Transfer,913,2025-04-09,02:48:10,24082,Failed
TXN1202,Chad Sosa,Male,3969127681986869,HDFC Bank,Nashik,Cash Withdrawal,6780,2025-04-16,06:00:20,33288,Success
TXN1203,Thomas Harrison,Male,6720171478374749,Axis Bank,Nagpur,Mini Statement,0,2025-04-20,16:00:17,18959,Success
TXN1204,Phillip Johnson,Male,4434404254339870,Axis Bank,Nashik,Cash Deposit,8653,2025-04-02,02:02:40,95600,Success
